작성자,분류,,개선사항,해결여부
오현경,공지사항,대기,공지사항 푸시알림 전송,
오현경,공지사항,대기,"공지사항 파일, 사진 첨부 기능",
오현경,공지사항,완료,공지사항 학생/ 학부모에게 전송,
오현경,공지사항,완료,센터별로 구분되도록 (전체/ 반포/ 압구정),
오현경,관리자 출석부 뷰,대기,관리자 출석부 뷰에 해당주 누적 학습시간 추가 표기,
오현경,관리자 출석부 뷰,대기,관리자 출석부 뷰에 누적 벌점 표기,
오현경,관리자 출석부 뷰,완료,미등원시간 표기 필요 여부 논의 ,보이지 않도록 처리
홍정희,관리자 출석부 뷰,완료,실시간 업데이트(입출업데이트) 되면 104번까지만 보이고 안보임/ 다른메뉴를 눌러서 나갔다 다시 들어와야 정상작동,"정상작동 상황, UI 일부 수정"
오현경,몰입도,대기,지난 시간 몰입도 추가 입력 기능 - 해당 시간에 입실학생 체크필,
오현경,몰입도,완료,학습과목 새벽 1시 이후 리셋,
오현경,몰입도,대기,핸드폰 제출 항목 추가 : 제출 (디폴트)/ 미제출/ 없음,
홍정희,몰입도,대기,퇴실표시 학생->입실로  관리자가 수동으로 전환가능? (몰입도 체크위해),
오현경,상벌점,완료,상벌점 내역- 학생이름 검색 기능,이미 적용
오현경,상벌점,대기,벌점 30점 도달 시 강제 퇴원 알림,
오현경,상벌점,대기,30점 도달 시점에 보유 상점과 상계 처리,
오현경,상벌점,대기,"벌점 분기별 초기화 (2월말 ,5월말 , 8월말 ,11월말)",
오현경,상벌점,대기,상점 누적 100점시 상품권 지급 이후 초기화,
오현경,상벌점,완료,최소시간 미만 벌점 아래 시간표기 의미,오류학생 사례 바탕으로 원인 찾아서 수정 완료
오현경,상벌점,완료,학습시간 달성 (월~ 일) 로 계산,
오현경,스케줄,대기,스케줄 승인 주체 확인 (학부모/ 관리자),
오현경,스케줄,대기,지난 일회성 스케줄 차주 자동 삭제,
오현경,스케줄,완료,부재 스케줄 학생명과 좌석번호 동시 표기,
김경임,스케줄,완료,부재스케줄에서 일회성인 경우 날짜는 오늘 날짜로 보여질수있도록 /학생도 각지점만 보여지도록,
홍정희,스케줄,완료,부재 스켸줄에서 학생이름 옆에 좌석번호 표시 기능 추가 ,
오현경,스케줄,대기,정기스케줄 입력시 시작일과 종료일 표기,
오현경,스케줄,완료,관리자가 입력시 학생이름 직접 입력하도록 (현재는 번호순 정렬되어 리스트),
오현경,스케줄,완료,학생계정에서 스케줄 삭제시 바로 반영되도록 (새로고침 없이),
오현경,스케줄,대기,부재스케줄 관리자 화면에서 너무 넓어서 계속 스크롤해야함 ,
오현경,스케줄,완료,"몰입도 관리에서 기간설정되도록,  1주일 평균값이 계산되도록,  검색 기능",이미 적용
오현경,앱 통합시 추가개발,대기,중석식 신청,
오현경,앱 통합시 추가개발,대기,모의고사 신청,
오현경,앱 통합시 추가개발,대기,멘토링 신청,
김경임,앱 통합시 추가개발,대기,"몰입도리포트(과목분포도 추가) , 학생에게도 보이면 좋을거같습니다",
오현경,오류 수정,완료,최소시간 미만 등원시 벌점 오류 14점 > 2점,
오현경,오류 수정,완료,과목 기재시 최상단으로 이동하는 오류 해결,
오현경,오류 수정,대기,과목 오입력시 리셋 기능 (더블클릭시 삭제),
김경임,오류 수정,완료,"데이터 다운로드시, 학습시간 데이터 입실시간오류>2/19 김민정실장님 오전7:28이나, 11:33분으로 보임",
김경임,오류 수정,완료,통계>학생과목 미분류시 노란색을 다른색으로 변경 요망(눈에 잘안띔),
김경임,오류 수정,완료,압구정점 학생> 공지사항 있어 클릭하면 > 공지사항이 없습니다로 뜸,
오현경,"오류 수정, 스케줄",완료,"관리자가 스케줄 입력시 지점 구분 필요 (현재는 반포, 압구정 모든학생 보임)",
오현경,채팅방,완료,회원가입시 채팅방 자동생성 ,
오현경,채팅방,대기,채팅내역 푸시알림 전송,
오현경,채팅방,대기,"채팅방 파일, 사진 첨부 기능",
오현경,채팅방,대기,출석부 학생이름 클릭시 채팅방으로 연결 기능,
